Whse,ItemCode,ItemDescription,DisplayDescription,CommodityCode,CommodityClass,ItemCode,OHQty,AllocQty,AvailQty,WAC,ExtWAC,Loc1,Loc2,Loc3,Manufacturer,MfrPartNumber
01ALC,FC96828TC1I09,PIC FW7500 4-PT OC-48 MUXPONDE,,NETWORK,PIC,|FC96828TC1I09,2,0,2,3139.25,6278.5,1,,,FUJITSU,FC96828TC1
01ALC,3001508908REVA,CARD DEXCS1 HDD MEM,,NETWORK,PIC,|3001508908REVA,4,0,4,2856.718,11426.87,1,,,TELMAR,300-1508-908
01ALC,FB016958A-RF,CARD GTD-5 NETWORK CLOCK UNIT,,NETWORK,CARD,|FB016958A-RF,177,0,177,2400,424800,1,,,ALCATEL-LUCENT NORTH AMERICA,FB016958A
01ALC,FB016581A-RF,CARD GTD-5 M386,,NETWORK,CARD,|FB016581A-RF,1,0,1,2595.08,2595.08,1,,,ALCATEL-LUCENT NORTH AMERICA,FB016581A
01ALC,FB0165811A-RF,CARD GTD-5 M386 PROCESSOR,,NETWORK,CARD,|FB0165811A-RF,20,0,20,3896.134,77922.68,1,,,ALCATEL-LUCENT NORTH AMERICA,FB0165811A
01ALC,FB16305AI01-RF,CARD GTD-5 PS LEFT CD,,NETWORK,CARD,|FB16305AI01-RF,6,0,6,2572.125,15432.75,1,,,ALCATEL-LUCENT NORTH AMERICA,FB16305AI01
01ALC,0110-0241-1D-RF,CARD ACCESSMAX PON (REV. 1D ON,,NETWORK,PIC,|0110-0241-1D-RF,14,0,14,2497.482143,34964.75,1,,,TELLABS,0110-0241
01ALC,0470-0009-RF,AMPLIFIER EDFA 6 X 22 DBM OUTP,,NETWORK,SHELF,|0470-0009-RF,1,0,1,37500,37500,1,,,TELLABS,0470-0009
01ALC,1442120G1,SFP 1490TX/1310RX 20KM,,NETWORK,OPTIC,|1442120G1,1,0,1,126.43,126.43,1,,,ADTRAN,1442120G1
01ALC,1442706PG3,SFP OC3-48 1G CWDM 1511 80K MF,,NETWORK,OPTIC,|1442706PG3,1,0,1,660,660,1,,,ADTRAN,1442706PG3
01ALC,3001508907-RF,CARD DEXCS1 OPTICAL MEM,,NETWORK,CARD,|3001508907-RF,3,0,3,2856.718333,8570.15,1,,,ALCATEL-LUCENT NORTH AMERICA,300-1508-907
01ALC,8271423MR5REVE,PIC 40G TRSPDR MX PRNCD MFD,,NETWORK,PIC,|8271423MR5REVE,1,0,1,17118.01,17118.01,1,,,TELLABS,82.71423M-R5
01ALC,FB-26720-A-RF,CARD DP1GZ DISK SUBSYS 1GIG/PW,,NETWORK,CARD,|FB-26720-A-RF,1,0,1,6600,6600,1,,,ALCATEL-LUCENT NORTH AMERICA,FB-26720-A
01ALC,FB0163051A-RF,POWER SUPPLY GTD-5 PS5L,,NETWORK,POWER,|FB0163051A-RF,3,0,3,5994,17982,1,,,ALCATEL-LUCENT NORTH AMERICA,FB0163051A
01ALC,FB026751A-RF,POWER SUPPLY AND HARD DISK 300,,NETWORK,POWER,|FB026751A-RF,3,0,3,9540.416667,28621.25,1,,,ALCATEL-LUCENT NORTH AMERICA,FB026751A
01ALC,FB027011A-RF,CARD TGMCP OPERATIONS GATEWAY,,NETWORK,CARD,|FB027011A-RF,5,0,5,3000,15000,1,,,ALCATEL-LUCENT NORTH AMERICA,109816199
01ALC,FB0270131A-RF,CARD GTD-5 CPPS OPERATIONS GAT,,NETWORK,CARD,|FB0270131A-RF,20,0,20,4800,96000,1,,,ALCATEL-LUCENT NORTH AMERICA,109817635
01ALC,FB0270461A-RF,CARD CPU GTD5 CHPH,,NETWORK,CARD,|FB0270461A-RF,3,0,3,17000,51000,1,,,ALCATEL-LUCENT NORTH AMERICA,109786483
